Father,Father Name,Father No of pairs,Father Qty,Child,Child Name,Child Qty,Process,Process Order
2-FB-3290-BK-G1,Footwear-Pride-3290-Black-Gents-6X10,24,1,7-PS-0051,"Packing Materials-Paper Stickers-Master Carton Color Sticker 4""x6"" (Plain)",1,Master_Carton_Packing,1
2-FB-3290-BK-G1,Footwear-Pride-3290-Black-Gents-6X10,24,1,7-BT-0001,PACKING MATERIAL-Box Strap-Box Belt 12 MM,3.9,Master_Carton_Packing,1
2-FB-3290-BK-G1,Footwear-Pride-3290-Black-Gents-6X10,24,1,7-PS-0050,Packing Materials-Paper Stickers-DT PLAIN STICKER 40X60,1,Master_Carton_Packing,1
2-FB-3290-BK-G1,Footwear-Pride-3290-Black-Gents-6X10,24,1,7-MC-0041,Packing Materials-Master Carton-CORRUGATED BOX - VKC PRIDE  6X10 CASUAL,1,Master_Carton_Packing,1
2-FB-3290-BK-G1,Footwear-Pride-3290-Black-Gents-6X10,24,1,3-FB-3290-BK-G10,FG SC-Fortune Kinaloor-3290-Black-Gents-10,3,Master_Carton_Packing,1
2-FB-3290-BK-G1,Footwear-Pride-3290-Black-Gents-6X10,24,1,7-AT-0015,Packing Materials-Adhesive Tape-Adhesive Tape-Bopp Tape(Transparent)VKC Printed - 72 Mm x 650 Mtr,1.84,Master_Carton_Packing,1
2-FB-3290-BK-G1,Footwear-Pride-3290-Black-Gents-6X10,24,1,3-FB-3290-BK-G06,FG SC-Fortune Kinaloor-3290-Black-Gents-06,3,Master_Carton_Packing,1
2-FB-3290-BK-G1,Footwear-Pride-3290-Black-Gents-6X10,24,1,3-FB-3290-BK-G09,FG SC-Fortune Kinaloor-3290-Black-Gents-09,6,Master_Carton_Packing,1
2-FB-3290-BK-G1,Footwear-Pride-3290-Black-Gents-6X10,24,1,FGMC-OH,,24,Master_Carton_Packing,1
2-FB-3290-BK-G1,Footwear-Pride-3290-Black-Gents-6X10,24,1,3-FB-3290-BK-G07,FG SC-Fortune Kinaloor-3290-Black-Gents-07,6,Master_Carton_Packing,1
2-FB-3290-BK-G1,Footwear-Pride-3290-Black-Gents-6X10,24,1,3-FB-3290-BK-G08,FG SC-Fortune Kinaloor-3290-Black-Gents-08,6,Master_Carton_Packing,1
2-FB-3290-BK-G15,Footwear-Pride-3290-Black-Gents-9X10,24,1,3-FB-3290-BK-G09,FG SC-Fortune Kinaloor-3290-Black-Gents-09,12,Master_Carton_Packing,1
2-FB-3290-BK-G15,Footwear-Pride-3290-Black-Gents-9X10,24,1,7-AT-0015,Packing Materials-Adhesive Tape-Adhesive Tape-Bopp Tape(Transparent)VKC Printed - 72 Mm x 650 Mtr,1.84,Master_Carton_Packing,1
2-FB-3290-BK-G15,Footwear-Pride-3290-Black-Gents-9X10,24,1,7-PS-0051,"Packing Materials-Paper Stickers-Master Carton Color Sticker 4""x6"" (Plain)",1,Master_Carton_Packing,1
2-FB-3290-BK-G15,Footwear-Pride-3290-Black-Gents-9X10,24,1,7-PS-0050,Packing Materials-Paper Stickers-DT PLAIN STICKER 40X60,1,Master_Carton_Packing,1
2-FB-3290-BK-G15,Footwear-Pride-3290-Black-Gents-9X10,24,1,3-FB-3290-BK-G10,FG SC-Fortune Kinaloor-3290-Black-Gents-10,12,Master_Carton_Packing,1
2-FB-3290-BK-G15,Footwear-Pride-3290-Black-Gents-9X10,24,1,7-BT-0001,PACKING MATERIAL-Box Strap-Box Belt 12 MM,3.9,Master_Carton_Packing,1
2-FB-3290-BK-G15,Footwear-Pride-3290-Black-Gents-9X10,24,1,7-MC-0041,Packing Materials-Master Carton-CORRUGATED BOX - VKC PRIDE  6X10 CASUAL,1,Master_Carton_Packing,1
2-FB-3290-BK-G15,Footwear-Pride-3290-Black-Gents-9X10,24,1,FGMC-OH,,24,Master_Carton_Packing,1
2-FB-3290-BK-G16,Footwear-Pride-3290-Black-Gents-8X9,24,1,3-FB-3290-BK-G09,FG SC-Fortune Kinaloor-3290-Black-Gents-09,12,Master_Carton_Packing,1
2-FB-3290-BK-G16,Footwear-Pride-3290-Black-Gents-8X9,24,1,7-PS-0051,"Packing Materials-Paper Stickers-Master Carton Color Sticker 4""x6"" (Plain)",1,Master_Carton_Packing,1
2-FB-3290-BK-G16,Footwear-Pride-3290-Black-Gents-8X9,24,1,FGMC-OH,,24,Master_Carton_Packing,1
2-FB-3290-BK-G16,Footwear-Pride-3290-Black-Gents-8X9,24,1,3-FB-3290-BK-G08,FG SC-Fortune Kinaloor-3290-Black-Gents-08,12,Master_Carton_Packing,1
2-FB-3290-BK-G16,Footwear-Pride-3290-Black-Gents-8X9,24,1,7-MC-0041,Packing Materials-Master Carton-CORRUGATED BOX - VKC PRIDE  6X10 CASUAL,1,Master_Carton_Packing,1
2-FB-3290-BK-G16,Footwear-Pride-3290-Black-Gents-8X9,24,1,7-BT-0001,PACKING MATERIAL-Box Strap-Box Belt 12 MM,3.9,Master_Carton_Packing,1
2-FB-3290-BK-G16,Footwear-Pride-3290-Black-Gents-8X9,24,1,7-PS-0050,Packing Materials-Paper Stickers-DT PLAIN STICKER 40X60,1,Master_Carton_Packing,1
2-FB-3290-BK-G16,Footwear-Pride-3290-Black-Gents-8X9,24,1,7-AT-0015,Packing Materials-Adhesive Tape-Adhesive Tape-Bopp Tape(Transparent)VKC Printed - 72 Mm x 650 Mtr,1.84,Master_Carton_Packing,1
2-FB-3290-BK-G2,Footwear-Pride-3290-Black-Gents-7X10,24,1,7-AT-0015,Packing Materials-Adhesive Tape-Adhesive Tape-Bopp Tape(Transparent)VKC Printed - 72 Mm x 650 Mtr,1.84,Master_Carton_Packing,1
2-FB-3290-BK-G2,Footwear-Pride-3290-Black-Gents-7X10,24,1,7-BT-0001,PACKING MATERIAL-Box Strap-Box Belt 12 MM,3.9,Master_Carton_Packing,1
2-FB-3290-BK-G2,Footwear-Pride-3290-Black-Gents-7X10,24,1,3-FB-3290-BK-G07,FG SC-Fortune Kinaloor-3290-Black-Gents-07,6,Master_Carton_Packing,1
