Item No.,Item Description,In Stock,FOREIGN NAME,Pair Size,No of pairs,SALES UOM,PURCHASE UOM,INVENTORY UOM,MRP,Product Type,Last Purchase Price,HSN/Commodity Code,VAT Commodity Group Code
2-FB-3290-BK-G1,FG MC-Fortune Kinaloor-3290-Black-Gents-6X10,251,Footwear-Pride-3290-Black-Gents-6X10,,24,CASE,No,CASE,289,Covering,"3,224.18",6402.99.90,FG
2-FB-3290-BK-G14,FG MC-Fortune Kinaloor-3290-Black-Gents-6X7,0,Footwear-Pride-3290-Black-Gents-6X7,,24,CASE,No,CASE,289,Covering,"3,319.20",6402.99.90,FG
2-FB-3290-BK-G15,FG MC-Fortune Kinaloor-3290-Black-Gents-9X10,0,Footwear-Pride-3290-Black-Gents-9X10,,24,CASE,No,CASE,289,Covering,"2,948.30",6402.99.90,FG
2-FB-3290-BK-G16,FG MC-Fortune Kinaloor-3290-Black-Gents-8X9,0,Footwear-Pride-3290-Black-Gents-8X9,,24,CASE,No,CASE,289,Covering,"3,140.32",6402.99.90,FG
2-FB-3290-BK-G19,FG MC-Fortune Kinaloor-3290-Black-Gents-6;7;9;10,0,Footwear-Pride-3290-Black-Gents-6;7;9;10,,24,CASE,No,CASE,289,Covering,0,6402.99.90,FG
2-FB-3290-BK-G2,FG MC-Fortune Kinaloor-3290-Black-Gents-7X10,35,Footwear-Pride-3290-Black-Gents-7X10,,24,CASE,No,CASE,289,Covering,"3,259.92",6402.99.90,FG
2-FB-3290-BK-G3,FG MC-Fortune Kinaloor-3290-Black-Gents-6X9,8,Footwear-Pride-3290-Black-Gents-6X9,,24,CASE,No,CASE,289,Covering,"3,151.98",6402.99.90,FG
2-FB-3290-BK-G30,FG MC-Fortune Kinaloor-3290-Black-Gents-8;10,0,Footwear-Pride-3290-Black-Gents-8;10,,24,CASE,No,CASE,289,Covering,"2,516.20",6402.99.90,FG
2-FB-3290-BK-G4,FG MC-Fortune Kinaloor-3290-Black-Gents-7X9,0,Footwear-Pride-3290-Black-Gents-7X9,,24,CASE,No,CASE,289,Covering,"3,158.07",6402.99.90,FG
2-FB-3290-BK-G5,FG MC-Fortune Kinaloor-3290-Black-Gents-8X10,64,Footwear-Pride-3290-Black-Gents-8X10,,24,CASE,No,CASE,289,Covering,"3,290.11",6402.99.90,FG
2-FB-3290-BK-G6,FG MC-Fortune Kinaloor-3290-Black-Gents-6X8,10,Footwear-Pride-3290-Black-Gents-6X8,,24,CASE,No,CASE,289,Covering,"3,115.96",6402.99.90,FG
2-FB-3290-BK-G7,FG MC-Fortune Kinaloor-3290-Black-Gents-7X8,0,Footwear-Pride-3290-Black-Gents-7X8,,24,CASE,No,CASE,289,Covering,"2,232.21",6402.99.90,FG
2-FB-3290-BK-GA6,FG MC-Fortune Kinaloor-3290-Black-Gents-06,0,Footwear-Pride-3290-Black-Gents-6,,24,CASE,No,CASE,289,Covering,"2,959.51",6402.99.90,FG
2-FB-3290-BK-GA8,FG MC-Fortune Kinaloor-3290-Black-Gents-08,0,Footwear-Pride-3290-Black-Gents-8,,24,CASE,No,CASE,289,Covering,"3,200.31",6402.99.90,FG
2-FB-3290-BK-GA9,FG MC-Fortune Kinaloor-3290-Black-Gents-09,0,Footwear-Pride-3290-Black-Gents-9,,24,CASE,No,CASE,289,Covering,"2,999.69",6402.99.90,FG
2-FB-3290-BK-GB0,FG MC-Fortune Kinaloor-3290-Black-Gents-10,0,Footwear-Pride-3290-Black-Gents-10,,24,CASE,No,CASE,289,Covering,"3,311.03",6402.99.90,FG
2-FB-3290-BK-X1,FG MC-Fortune Kinaloor-3290-Black-Giants-11X12,27,Footwear-Pride-3290-Black-Giants-11X12,,12,CASE,No,CASE,339,Covering,"1,915.16",,FG
2-FB-3290-BK-XB1,FG MC-Fortune Kinaloor-3290-Black-Giants-11,0,Footwear-Pride-3290-Black-Giants-11,,12,CASE,No,CASE,339,Covering,"1,723.56",,FG
2-FB-3290-BK-XB2,FG MC-Fortune Kinaloor-3290-Black-Giants-12,0,Footwear-Pride-3290-Black-Giants-12,,12,CASE,No,CASE,339,Covering,"1,723.56",,FG
2-FB-3290-BR-G1,FG MC-Fortune Kinaloor-3290-Brown-Gents-6X10,122,Footwear-Pride-3290-Brown-Gents-6X10,,24,CASE,No,CASE,289,Covering,"3,356.91",6402.99.90,FG
2-FB-3290-BR-G14,FG MC-Fortune Kinaloor-3290-Brown-Gents-6X7,0,Footwear-Pride-3290-Brown-Gents-6X7,,24,CASE,No,CASE,289,Covering,"2,329.55",6402.99.90,FG
2-FB-3290-BR-G15,FG MC-Fortune Kinaloor-3290-Brown-Gents-9X10,0,Footwear-Pride-3290-Brown-Gents-9X10,,24,CASE,No,CASE,289,Covering,"3,034.39",6402.99.90,FG
2-FB-3290-BR-G16,FG MC-Fortune Kinaloor-3290-Brown-Gents-8X9,0,Footwear-Pride-3290-Brown-Gents-8X9,,24,CASE,No,CASE,289,Covering,"3,360.13",6402.99.90,FG
2-FB-3290-BR-G2,FG MC-Fortune Kinaloor-3290-Brown-Gents-7X10,54,Footwear-Pride-3290-Brown-Gents-7X10,,24,CASE,No,CASE,289,Covering,"3,371.11",6402.99.90,FG
2-FB-3290-BR-G20,FG MC-Fortune Kinaloor-3290-Brown-Gents-6;8;10,0,Footwear-Pride-3290-Brown-Gents-6;8;10,,24,CASE,No,CASE,289,Covering,0,6402.99.90,FG
2-FB-3290-BR-G26,FG MC-Fortune Kinaloor-3290-Brown-Gents-6;7;8;10,0,Footwear-Pride-3290-Brown-Gents-6;7;8;10,,24,CASE,No,CASE,289,Covering,"3,319.20",6402.99.90,FG
2-FB-3290-BR-G27,FG MC-Fortune Kinaloor-3290-Brown-Gents-6;10,0,Footwear-Pride-3290-Brown-Gents-6;10,,24,CASE,No,CASE,289,Covering,0,6402.99.90,FG
2-FB-3290-BR-G29,FG MC-Fortune Kinaloor-3290-Brown-Gents-7;8;10,0,Footwear-Pride-3290-Brown-Gents-7;8;10,,24,CASE,No,CASE,289,Covering,0,6402.99.90,FG
2-FB-3290-BR-G3,FG MC-Fortune Kinaloor-3290-Brown-Gents-6X9,16,Footwear-Pride-3290-Brown-Gents-6X9,,24,CASE,No,CASE,289,Covering,"3,277.21",6402.99.90,FG
2-FB-3290-BR-G30,FG MC-Fortune Kinaloor-3290-Brown-Gents-8;10,0,Footwear-Pride-3290-Brown-Gents-8;10,,24,CASE,No,CASE,289,Covering,"2,212.35",6402.99.90,FG
2-FB-3290-BR-G4,FG MC-Fortune Kinaloor-3290-Brown-Gents-7X9,0,Footwear-Pride-3290-Brown-Gents-7X9,,24,CASE,No,CASE,289,Covering,"3,280.75",6402.99.90,FG
2-FB-3290-BR-G5,FG MC-Fortune Kinaloor-3290-Brown-Gents-8X10,34,Footwear-Pride-3290-Brown-Gents-8X10,,24,CASE,No,CASE,289,Covering,"3,403.09",6402.99.90,FG
2-FB-3290-BR-G6,FG MC-Fortune Kinaloor-3290-Brown-Gents-6X8,15,Footwear-Pride-3290-Brown-Gents-6X8,,24,CASE,No,CASE,289,Covering,"3,280.71",6402.99.90,FG
2-FB-3290-BR-G7,FG MC-Fortune Kinaloor-3290-Brown-Gents-7X8,0,Footwear-Pride-3290-Brown-Gents-7X8,,24,CASE,No,CASE,289,Covering,"2,985.70",6402.99.90,FG
2-FB-3290-BR-GA6,FG MC-Fortune Kinaloor-3290-Brown-Gents-06,0,Footwear-Pride-3290-Brown-Gents-06,,24,CASE,No,CASE,289,Covering,"2,966.43",6402.99.90,FG
